Source,Target,Type,id,label,timeset,weight
6037,6071,Directed,5091,,,64832
6037,6059,Directed,5092,,,50037
6037,6065,Directed,5093,,,38566
6059,6037,Directed,6175,,,38379
12086,12011,Directed,16190,,,37151
6059,6065,Directed,6176,,,36414
48201,48157,Directed,71573,,,35452
6071,6065,Directed,7236,,,33184
36047,36081,Directed,50358,,,32074
17031,17043,Directed,23866,,,31099
48113,48085,Directed,70225,,,29331
6071,6037,Directed,7237,,,29249
4013,4021,Directed,1913,,,28528
17031,17197,Directed,23867,,,28122
48113,48439,Directed,70226,,,27908
26163,26125,Directed,39033,,,25737
53033,53061,Directed,79834,,,25142
24510,24005,Directed,35064,,,25005
36061,36005,Directed,51132,,,24310
36061,36047,Directed,51131,,,24180
48439,48113,Directed,73679,,,22735
12011,12086,Directed,13540,,,22584
17043,17031,Directed,24472,,,22551
6065,6071,Directed,6658,,,22469
36081,36059,Directed,51973,,,22466
29510,29189,Directed,43966,,,22184
48157,48201,Directed,71203,,,21904
53033,53053,Directed,79835,,,21422
13089,13121,Directed,20372,,,21033
48113,48121,Directed,70227,,,20802
48453,48491,Directed,74238,,,20764
36081,36047,Directed,51972,,,20758
6037,32003,Directed,5094,,,20344
48201,48339,Directed,71574,,,20260
25025,25017,Directed,36340,,,19989
13121,13089,Directed,20856,,,19986
8031,8005,Directed,10426,,,19890
6001,6013,Directed,4053,,,18985
48085,48113,Directed,69922,,,18953
24005,24510,Directed,33701,,,18826
12095,12117,Directed,16762,,,18305
12011,12099,Directed,13541,,,18221
6073,6065,Directed,7597,,,18085
17031,17097,Directed,23868,,,17968
29189,29510,Directed,43586,,,17503
53061,53033,Directed,80691,,,17213
12117,12095,Directed,18798,,,16978
8005,8031,Directed,10076,,,16814
36059,36103,Directed,50901,,,16806
13089,13135,Directed,20373,,,16795
11001,24033,Directed,12880,,,16451
26125,26163,Directed,38276,,,16343
36061,36081,Directed,51133,,,16201
25017,25025,Directed,35782,,,16026
12057,12101,Directed,14936,,,15881
26163,26099,Directed,39034,,,15563
36005,36061,Directed,49465,,,15426
36047,36061,Directed,50359,,,15360
6037,4013,Directed,5097,,,14872
6065,6059,Directed,6659,,,14678
48491,48453,Directed,74814,,,14627
6037,6073,Directed,5095,,,14582
6037,6111,Directed,5096,,,14455
51059,51107,Directed,76467,,,14260
51059,51153,Directed,76468,,,14045
48121,48113,Directed,70651,,,14018
53053,53033,Directed,80398,,,13908
25025,25021,Directed,36341,,,13855
17031,18089,Directed,23870,,,13579
12095,12097,Directed,16763,,,13560
17031,17089,Directed,23869,,,13371
6065,6037,Directed,6660,,,13293
6037,6029,Directed,5098,,,13111
6075,6081,Directed,8216,,,12989
6013,6001,Directed,4401,,,12904
27053,27123,Directed,39861,,,12673
29189,29183,Directed,43587,,,12654
17197,17031,Directed,26091,,,12621
6065,6073,Directed,6661,,,12596
55079,55133,Directed,82482,,,12552
8031,8059,Directed,10427,,,12506
42101,42091,Directed,64396,,,12493
48201,48039,Directed,71575,,,12459
48339,48201,Directed,72983,,,12365
24033,24031,Directed,34660,,,12181
17097,17031,Directed,25061,,,12160
6059,6071,Directed,6177,,,12064
24031,24033,Directed,34369,,,11980
26125,26099,Directed,38277,,,11964
27123,27053,Directed,40531,,,11930
36081,36061,Directed,51974,,,11783
6073,6037,Directed,7598,,,11705
6067,6061,Directed,6984,,,11492
48201,22071,Directed,71576,,,11466
26099,26125,Directed,37898,,,11408
41051,41005,Directed,61579,,,11380
42101,42045,Directed,64397,,,11379
6085,6001,Directed,8842,,,11267
13067,13121,Directed,19953,,,11209
36005,36119,Directed,49466,,,11108
13121,13067,Directed,20857,,,11007
36059,36081,Directed,50902,,,10926
8031,8001,Directed,10428,,,10836
13135,13089,Directed,21206,,,10824
18097,18057,Directed,27275,,,10597
40109,40027,Directed,60256,,,10552
12099,12011,Directed,17247,,,10500
17043,17197,Directed,24473,,,10485
8059,8031,Directed,11141,,,10484
36047,36085,Directed,50360,,,10202
25017,25009,Directed,35783,,,10160
9001,9009,Directed,11745,,,10042
24033,11001,Directed,34661,,,10018
51013,51059,Directed,76025,,,10010
31055,31153,Directed,44595,,,10002
6001,6085,Directed,4054,,,9922
48201,48167,Directed,71577,,,9904
41067,41051,Directed,61869,,,9851
39061,39017,Directed,57979,,,9758
22051,22071,Directed,32198,,,9757
48085,48121,Directed,69923,,,9742
6075,6001,Directed,8217,,,9710
41005,41051,Directed,60925,,,9682
4021,4013,Directed,2933,,,9586
36103,36059,Directed,52700,,,9576
27053,27003,Directed,39862,,,9562
13121,13063,Directed,20858,,,9520
6111,6037,Directed,9699,,,9451
6081,6085,Directed,8594,,,9434
34013,34039,Directed,47011,,,9362
12097,12095,Directed,17139,,,9361
17043,17089,Directed,24474,,,9314
25021,25025,Directed,36089,,,9312
51510,51059,Directed,78093,,,9286
49035,49049,Directed,75183,,,9215
41051,41067,Directed,61580,,,9211
25017,25027,Directed,35784,,,9205
48121,48085,Directed,70652,,,9167
12031,12019,Directed,14292,,,9107
6059,6073,Directed,6178,,,9081
22071,22051,Directed,32489,,,9071
6081,6075,Directed,8593,,,9045
34017,34003,Directed,47244,,,9012
12103,12101,Directed,17802,,,8971
13063,13121,Directed,19858,,,8950
12103,12057,Directed,17801,,,8903
12057,12103,Directed,14937,,,8781
25009,25017,Directed,35447,,,8746
27053,27037,Directed,39863,,,8692
51710,51810,Directed,78714,,,8562
39049,39041,Directed,57520,,,8545
6001,6077,Directed,4056,,,8448
8001,8031,Directed,9965,,,8434
40027,40109,Directed,59766,,,8343
8059,8001,Directed,11142,,,8317
6061,6067,Directed,6559,,,8302
25021,25017,Directed,36090,,,8292
49035,49011,Directed,75184,,,8262
1073,1117,Directed,469,,,8239
55133,55079,Directed,83152,,,8206
12095,12069,Directed,16764,,,8179
51810,51710,Directed,79112,,,8146
6071,6059,Directed,7238,,,8135
42101,42017,Directed,64398,,,8127
12021,12071,Directed,14121,,,8108
36081,36103,Directed,51975,,,8040
48167,48201,Directed,71333,,,8006
47037,47149,Directed,67198,,,7997
42091,42101,Directed,64075,,,7995
6085,6081,Directed,8843,,,7967
27123,27163,Directed,40532,,,7951
48439,48121,Directed,73680,,,7911
24033,24003,Directed,34662,,,7890
13135,13121,Directed,21207,,,7876
6073,6059,Directed,7599,,,7806
36047,36005,Directed,50361,,,7778
47157,28033,Directed,68331,,,7651
25017,25021,Directed,35785,,,7604
34003,34031,Directed,46498,,,7562
37119,37179,Directed,54971,,,7552
26099,26163,Directed,37899,,,7542
