Source,Target,Type,id,label,timeset,weight
12086,12011,Directed,17642,,,72701
6037,6071,Directed,5653,,,57702
6037,6059,Directed,5652,,,56952
12011,12086,Directed,14240,,,54117
6059,6037,Directed,6704,,,47539
6071,6037,Directed,7737,,,42209
48201,48157,Directed,76680,,,39093
6071,6065,Directed,7738,,,34640
36047,36081,Directed,53883,,,32719
36061,36047,Directed,54679,,,32578
6037,6065,Directed,5654,,,31965
48113,48439,Directed,75089,,,31852
17031,17043,Directed,26928,,,30815
26163,26125,Directed,42241,,,30605
48157,48201,Directed,76214,,,29980
48113,48085,Directed,75090,,,29685
48439,48113,Directed,79058,,,29662
6065,6071,Directed,7180,,,29603
13121,13089,Directed,23301,,,29388
13089,13121,Directed,22631,,,28035
17043,17031,Directed,27576,,,26684
36081,36047,Directed,55518,,,26371
36061,36005,Directed,54680,,,26209
24510,24005,Directed,38420,,,25339
48453,48491,Directed,79667,,,24826
8031,8005,Directed,10824,,,24798
48085,48113,Directed,74697,,,24328
26125,26163,Directed,41527,,,24059
6059,6065,Directed,6705,,,23766
53033,53061,Directed,85517,,,23749
6065,6037,Directed,7181,,,23326
48201,48339,Directed,76681,,,23320
8005,8031,Directed,10431,,,22396
29510,29189,Directed,47388,,,22330
6001,6013,Directed,4625,,,22316
12011,12099,Directed,14241,,,22296
48113,48121,Directed,75091,,,21831
36081,36059,Directed,55519,,,21713
4021,4013,Directed,3326,,,21238
36047,36061,Directed,53884,,,21129
26163,26099,Directed,42242,,,20535
48491,48453,Directed,80296,,,20390
6065,6059,Directed,7182,,,20362
36005,36061,Directed,52995,,,20320
25025,25017,Directed,39673,,,20294
17031,17197,Directed,26929,,,19654
12095,12117,Directed,18473,,,19443
24005,24510,Directed,37138,,,19258
53061,53033,Directed,86464,,,19069
12099,12011,Directed,18976,,,18890
53033,53053,Directed,85518,,,18889
29189,29510,Directed,47014,,,18566
4013,4021,Directed,2248,,,18537
12117,12095,Directed,20701,,,18421
48121,48113,Directed,75586,,,18021
13089,13135,Directed,22632,,,17858
36061,36081,Directed,54681,,,17620
6073,6065,Directed,8039,,,17513
48339,48201,Directed,78279,,,17093
6013,6001,Directed,4977,,,16825
17031,17097,Directed,26930,,,16740
53053,53033,Directed,86134,,,16655
25017,25025,Directed,39133,,,16382
6037,6111,Directed,5656,,,16060
6085,6001,Directed,9244,,,15976
6037,6073,Directed,5655,,,15861
