Source,Target,Type,id,label,timeset,weight
6037,6071,Directed,73140,,,935155
6037,6059,Directed,73139,,,854584
12086,12011,Directed,64865,,,710933
6059,6037,Directed,74156,,,682953
48201,48157,Directed,11184,,,574815
17031,17043,Directed,55873,,,545690
6071,6037,Directed,75056,,,515955
36047,36081,Directed,27938,,,508613
6037,6065,Directed,73141,,,498340
6071,6065,Directed,75057,,,491994
48113,48085,Directed,9833,,,490669
6059,6065,Directed,74157,,,472368
48113,48439,Directed,9834,,,465120
12011,12086,Directed,64252,,,446195
36061,36047,Directed,28657,,,424865
26163,26125,Directed,46155,,,415328
24510,24005,Directed,48249,,,397141
48439,48113,Directed,13293,,,393292
6065,6071,Directed,74603,,,392706
17043,17031,Directed,56511,,,391020
53033,53061,Directed,2843,,,387855
36061,36005,Directed,28658,,,384727
17031,17197,Directed,55875,,,372314
36081,36047,Directed,29445,,,372147
48157,48201,Directed,10814,,,371176
36081,36059,Directed,29444,,,366251
13121,13089,Directed,62070,,,365953
8031,8005,Directed,70763,,,363595
29510,29189,Directed,42137,,,356186
13089,13121,Directed,61568,,,352919
48453,48491,Directed,13842,,,349526
48113,48121,Directed,9835,,,344158
6001,6013,Directed,72103,,,339535
48201,48339,Directed,11185,,,334885
6073,6065,Directed,75326,,,331078
25025,25017,Directed,49485,,,329700
26125,26163,Directed,45427,,,322228
48085,48113,Directed,9522,,,318725
12011,12099,Directed,64251,,,317899
53033,53053,Directed,2844,,,317817
8005,8031,Directed,70340,,,311980
17031,17097,Directed,55874,,,301150
4013,4021,Directed,77773,,,297751
36047,36061,Directed,27939,,,295070
12095,12117,Directed,66963,,,293750
24005,24510,Directed,47077,,,291046
13089,13135,Directed,61569,,,286579
53061,53033,Directed,3691,,,283722
29189,29510,Directed,41739,,,282961
36005,36061,Directed,27042,,,271288
12117,12095,Directed,68541,,,269181
36059,36103,Directed,28450,,,268794
25017,25025,Directed,48928,,,263526
6065,6037,Directed,74604,,,259103
26163,26099,Directed,46156,,,258927
6065,6059,Directed,74605,,,257113
36061,36081,Directed,28659,,,254025
48491,48453,Directed,14433,,,250620
11001,24033,Directed,69171,,,245137
51059,51153,Directed,5016,,,244936
51059,51107,Directed,5017,,,242561
6037,6111,Directed,73143,,,242284
6037,32003,Directed,73144,,,241042
53053,53033,Directed,3410,,,236705
6037,6073,Directed,73142,,,236576
48121,48113,Directed,10277,,,234821
6013,6001,Directed,72456,,,228883
6085,6001,Directed,76475,,,228811
6075,6081,Directed,75879,,,228621
25025,25021,Directed,49486,,,224913
8031,8059,Directed,70764,,,222409
48339,48201,Directed,12592,,,219755
26125,26099,Directed,45428,,,217109
12099,12011,Directed,67340,,,213748
36081,36061,Directed,29446,,,212847
27053,27123,Directed,42707,,,208313
26099,26125,Directed,45092,,,207937
41051,41005,Directed,22162,,,207501
27123,27053,Directed,43382,,,206968
12057,12101,Directed,65761,,,206316
42101,42091,Directed,20831,,,204253
13121,13067,Directed,62071,,,203071
6073,6037,Directed,75327,,,202589
4021,4013,Directed,78733,,,201280
17097,17031,Directed,57150,,,200788
6067,6061,Directed,74820,,,197985
55079,55133,Directed,1584,,,196039
17031,17089,Directed,55876,,,193606
24031,24033,Directed,47640,,,192826
17197,17031,Directed,58216,,,191988
24033,24031,Directed,47895,,,191622
6075,6001,Directed,75880,,,190341
8031,8001,Directed,70765,,,189877
29189,29183,Directed,41740,,,189211
6065,6073,Directed,74606,,,188779
12095,12097,Directed,66964,,,188281
13067,13121,Directed,61153,,,187899
25017,25009,Directed,48929,,,187840
8059,8031,Directed,71473,,,187287
39049,39041,Directed,24789,,,185643
22071,22051,Directed,50590,,,184937
48201,48039,Directed,11187,,,180734
6111,6037,Directed,77365,,,180128
36059,36081,Directed,28451,,,178493
17031,18089,Directed,55877,,,178278
6001,6085,Directed,72104,,,177766
48085,48121,Directed,9523,,,177432
13135,13089,Directed,62434,,,177206
13121,13063,Directed,62072,,,176323
36005,36119,Directed,27043,,,175523
48201,48167,Directed,11186,,,173782
42101,42045,Directed,20832,,,173389
24033,11001,Directed,47896,,,172757
6059,6071,Directed,74159,,,171317
51013,51059,Directed,4586,,,170873
18097,18057,Directed,54664,,,168047
12097,12095,Directed,67271,,,167046
36047,36085,Directed,27940,,,166975
40109,40027,Directed,23239,,,166189
41051,41067,Directed,22163,,,165890
12103,12057,Directed,67751,,,163545
36103,36059,Directed,30154,,,163422
39061,39017,Directed,25225,,,162655
12057,12103,Directed,65760,,,162195
48121,48085,Directed,10278,,,160231
51510,51059,Directed,6481,,,160172
41005,41051,Directed,21464,,,160024
27053,27003,Directed,42709,,,159413
25017,25027,Directed,48930,,,158684
6081,6075,Directed,76208,,,158354
6081,6085,Directed,76210,,,157548
17043,17197,Directed,56513,,,157005
41067,41051,Directed,22466,,,155385
22051,22071,Directed,50300,,,153066
25021,25025,Directed,49220,,,151478
6085,6081,Directed,76476,,,150877
6037,4013,Directed,73145,,,149427
6037,6029,Directed,73148,,,149407
6001,6077,Directed,72105,,,148234
26099,26163,Directed,45093,,,148051
6061,6067,Directed,74515,,,147994
8001,8031,Directed,70217,,,147606
9001,9009,Directed,69358,,,147144
6059,6073,Directed,74158,,,147079
27053,27037,Directed,42708,,,146321
13063,13121,Directed,61056,,,145775
17043,17089,Directed,56512,,,143283
31055,31153,Directed,34861,,,143164
48167,48201,Directed,10937,,,142951
25009,25017,Directed,48583,,,142609
48439,48121,Directed,13294,,,142085
8059,8001,Directed,71474,,,140582
40027,40109,Directed,22751,,,140402
25017,25021,Directed,48931,,,138588
34013,34039,Directed,32747,,,138219
55133,55079,Directed,2247,,,138146
34017,34003,Directed,32940,,,137718
25021,25017,Directed,49221,,,137635
49035,49049,Directed,7868,,,137622
6073,6059,Directed,75328,,,137278
12031,12019,Directed,65178,,,137240
6071,6059,Directed,75058,,,136747
51710,51810,Directed,7044,,,136550
36047,36005,Directed,27941,,,136210
42101,42017,Directed,20833,,,134887
8005,8035,Directed,70341,,,134571
49049,49035,Directed,8186,,,132805
6081,6001,Directed,76209,,,132274
13121,13135,Directed,62073,,,131993
42091,42101,Directed,20536,,,130936
1073,1117,Directed,80277,,,130626
12103,12101,Directed,67752,,,130005
13135,13121,Directed,62435,,,129398
36081,36103,Directed,29447,,,128479
25021,25023,Directed,49222,,,127299
51760,51087,Directed,7246,,,126865
36081,36005,Directed,29448,,,125545
27123,27163,Directed,43383,,,125304
45079,45063,Directed,17875,,,125192
12101,12057,Directed,67641,,,124746
27003,27053,Directed,42235,,,124518
11001,24031,Directed,69172,,,123895
29095,20091,Directed,40985,,,122595
39017,39061,Directed,24084,,,122401
51153,51059,Directed,6006,,,122342
6001,6075,Directed,72106,,,122186
48039,48201,Directed,9162,,,121964
31153,31055,Directed,35324,,,121921
47037,47149,Directed,14751,,,121835
51810,51710,Directed,7388,,,121272
36005,36081,Directed,27044,,,121032
51059,51013,Directed,5018,,,120871
27037,27053,Directed,42504,,,120124
48121,48439,Directed,10279,,,119654
17089,17031,Directed,57000,,,118620
34003,34031,Directed,32249,,,117633
12095,12069,Directed,66965,,,116374
36005,36047,Directed,27045,,,116122
39035,39093,Directed,24355,,,115867
34025,34029,Directed,33433,,,115724
49035,49011,Directed,7869,,,115430
42091,42017,Directed,20535,,,115117
34031,34003,Directed,33863,,,115063
48453,48209,Directed,13843,,,114870
32003,6037,Directed,30829,,,114638
4019,4013,Directed,78468,,,114626
36061,36119,Directed,28660,,,114589
42017,42091,Directed,18963,,,113674
8001,8059,Directed,70218,,,113578
12019,12031,Directed,64687,,,113463
18097,18063,Directed,54665,,,113218
34023,34035,Directed,33256,,,112885
8005,8001,Directed,70343,,,111407
42045,42101,Directed,19689,,,111400
25027,25017,Directed,49682,,,110754
45063,45079,Directed,17699,,,110351
8001,8005,Directed,70219,,,110200
51059,51510,Directed,5019,,,109735
48439,48251,Directed,13295,,,108670
47157,28033,Directed,15875,,,108403
45019,45015,Directed,17025,,,107642
24033,24003,Directed,47897,,,107571
17031,17111,Directed,55878,,,107552
37119,37179,Directed,37331,,,107478
18097,18081,Directed,54666,,,107396
39049,39045,Directed,24790,,,106289
39041,39049,Directed,24648,,,105881
6075,6013,Directed,75881,,,105578
29189,29099,Directed,41741,,,104505
39061,39025,Directed,25226,,,104406
12031,12109,Directed,65179,,,104264
49011,49057,Directed,7732,,,104143
51810,51550,Directed,7389,,,103936
20091,29095,Directed,52935,,,103678
51087,51760,Directed,5492,,,103219
12115,12081,Directed,68406,,,103078
34007,34015,Directed,32573,,,102693
26163,26161,Directed,46157,,,102481
13063,13151,Directed,61055,,,102349
13067,13057,Directed,61154,,,100047
41051,53011,Directed,22164,,,98968
8035,8005,Directed,70964,,,98873
34039,34023,Directed,34144,,,98823
18057,18097,Directed,54172,,,98787
49057,49011,Directed,8344,,,98687
9009,9001,Directed,69874,,,98670
42095,42077,Directed,20731,,,98625
2020,2170,Directed,81198,,,98530
48375,48381,Directed,12979,,,98402
36047,36059,Directed,27942,,,98141
16001,16027,Directed,58407,,,98121
35001,35043,Directed,31501,,,97792
51107,51059,Directed,5709,,,97319
29183,29189,Directed,41627,,,97301
42077,42095,Directed,20215,,,97202
39057,39113,Directed,25150,,,97145
12086,12099,Directed,64866,,,97108
18089,17031,Directed,54493,,,96881
36119,36005,Directed,30606,,,96859
27123,27037,Directed,43385,,,96497
24031,11001,Directed,47641,,,96336
37063,37183,Directed,36572,,,96013
44007,44003,Directed,18294,,,95862
36061,34017,Directed,28661,,,95808
26161,26163,Directed,45999,,,95725
