id,label,timeset,state,totalMig,totalNonMig,population,poverty
1001,Autauga County,,AL,5956,52323,58279,10.4
1003,Baldwin County,,AL,10504,162590,173094,11.4
1005,Barbour County,,AL,1782,26165,27947,22.4
1007,Bibb County,,AL,1460,21080,22540,16.6
1009,Blount County,,AL,3265,53243,56508,11.4
1011,Bullock County,,AL,557,8278,8835,38.2
1013,Butler County,,AL,1148,21852,23000,23.1
1015,Calhoun County,,AL,6614,122392,129006,16.9
1017,Chambers County,,AL,2419,38883,41302,16.2
1019,Cherokee County,,AL,1355,24385,25740,16.2
1021,Chilton County,,AL,2330,41659,43989,16.1
1023,Choctaw County,,AL,643,15051,15694,24.4
1025,Clarke County,,AL,1287,29692,30979,20.9
1027,Clay County,,AL,921,15327,16248,15.8
1029,Cleburne County,,AL,900,14181,15081,15.5
1031,Coffee County,,AL,5250,44785,50035,15.1
1033,Colbert County,,AL,3258,58550,61808,15.7
1035,Conecuh County,,AL,749,14247,14996,27.7
1037,Coosa County,,AL,1068,11588,12656,18.7
1039,Covington County,,AL,1972,37075,39047,18.4
1041,Crenshaw County,,AL,896,14202,15098,23.5
1043,Cullman County,,AL,3775,81930,85705,14.7
1045,Dale County,,AL,7738,47409,55147,16.0
1047,Dallas County,,AL,2440,44887,47327,34.9
1049,DeKalb County,,AL,3539,68392,71931,19.4
1051,Elmore County,,AL,6619,75724,82343,13.1
1053,Escambia County,,AL,2107,36676,38783,22.2
1055,Etowah County,,AL,5089,107597,112686,15.8
1057,Fayette County,,AL,1056,17899,18955,17.9
1059,Franklin County,,AL,1744,30906,32650,19.5
1061,Geneva County,,AL,1871,25127,26998,20.3
1063,Greene County,,AL,762,9494,10256,33.9
1065,Hale County,,AL,1093,17445,18538,30.4
1067,Henry County,,AL,1305,17198,18503,17.6
1069,Houston County,,AL,6811,99456,106267,14.9
1071,Jackson County,,AL,2576,56678,59254,18.8
1073,Jefferson County,,AL,38103,699686,737789,15.7
1075,Lamar County,,AL,972,15825,16797,17.0
1077,Lauderdale County,,AL,4599,93169,97768,18.5
1079,Lawrence County,,AL,1987,36373,38360,16.0
1081,Lee County,,AL,10353,115071,125424,20.6
1083,Limestone County,,AL,4044,74529,78573,13.0
1085,Lowndes County,,AL,1133,13737,14870,29.5
1087,Macon County,,AL,1510,21545,23055,32.0
1089,Madison County,,AL,17885,337272,355157,10.3
1091,Marengo County,,AL,1284,22791,24075,25.2
1093,Marion County,,AL,1549,29041,30590,18.4
1095,Marshall County,,AL,5239,90405,95644,18.7
1097,Mobile County,,AL,17082,410069,427151,20.0
1099,Monroe County,,AL,1280,24838,26118,22.3
1101,Montgomery County,,AL,18260,239249,257509,17.4
1103,Morgan County,,AL,6690,125601,132291,14.0
1105,Perry County,,AL,663,10731,11394,34.9
1107,Pickens County,,AL,1051,20701,21752,23.3
1109,Pike County,,AL,2020,27741,29761,28.6
1111,Randolph County,,AL,1296,22489,23785,19.2
1113,Russell County,,AL,5619,50150,55769,20.0
1115,St. Clair County,,AL,4761,73650,78411,13.2
1117,Shelby County,,AL,14902,182832,197734,6.3
1119,Sumter County,,AL,845,13544,14389,36.6
1121,Talladega County,,AL,4821,83297,88118,19.3
1123,Tallapoosa County,,AL,2454,43123,45577,18.2
1125,Tuscaloosa County,,AL,9516,174115,183631,20.4
1127,Walker County,,AL,3351,67847,71198,15.6
1129,Washington County,,AL,1024,18024,19048,20.2
1131,Wilcox County,,AL,720,12701,13421,37.8
1133,Winston County,,AL,1384,24331,25715,21.8
2013,Aleutians East Borough,,AK,346,1604,1950,16.8
2016,Aleutians West Census Area,,AK,896,4135,5031,9.2
2020,Anchorage Municipality,,AK,28310,293149,321459,9.2
2050,Bethel Census Area,,AK,1143,16884,18027,20.0
2060,Bristol Bay Borough,,AK,200,1227,1427,9.1
2068,Denali Borough,,AK,328,2149,2477,6.6
2070,Dillingham Census Area,,AK,414,4652,5066,22.7
2090,Fairbanks North Star Borough,,AK,12669,95627,108296,8.9
2100,Haines Borough,,AK,240,2551,2791,11.9
2105,Hoonah-Angoon Census Area,,AK,0,0,0,12.9
2110,Juneau City and Borough,,AK,3014,34628,37642,7.3
2122,Kenai Peninsula Borough,,AK,4156,54066,58222,11.2
2130,Ketchikan Gateway Borough,,AK,1383,14698,16081,9.3
2150,Kodiak Island Borough,,AK,1870,14712,16582,8.6
2164,Lake and Peninsula Borough,,AK,149,1493,1642,20.6
2170,Matanuska-Susitna Borough,,AK,5292,75260,80552,11.3
2180,Nome Census Area,,AK,688,8947,9635,21.7
2185,North Slope Borough,,AK,663,6723,7386,12.7
2188,Northwest Arctic Borough,,AK,481,6305,6786,20.6
2195,Petersburg Census Area,,AK,0,0,0,9.9
2220,Sitka City and Borough,,AK,1046,9842,10888,8.2
2240,Southeast Fairbanks Census Area,,AK,734,7321,8055,15.5
2261,Valdez-Cordova Census Area,,AK,1247,10657,11904,10.6
2270,Wade Hampton Census Area,,AK,486,7001,7487,34.0
2282,Yakutat City and Borough,,AK,65,557,622,15.2
2290,Yukon-Koyukuk Census Area,,AK,701,5883,6584,26.1
4001,Apache County,,AZ,6634,57881,64515,41.7
4003,Cochise County,,AZ,13504,119277,132781,16.9
4005,Coconino County,,AZ,13216,121558,134774,18.0
4007,Gila County,,AZ,4016,49830,53846,19.9
4009,Graham County,,AZ,1807,25844,27651,23.7
4011,Greenlee County,,AZ,637,7189,7826,12.8
4012,La Paz County,,AZ,1529,14375,15904,21.6
4013,Maricopa County,,AZ,179566,3576737,3756303,12.6
4015,Mohave County,,AZ,13823,171786,185609,15.6
4017,Navajo County,,AZ,7606,92559,100165,28.8
4019,Pima County,,AZ,47177,923799,970976,14.9
4021,Pinal County,,AZ,18296,192513,210809,15.7
4023,Santa Cruz County,,AZ,2429,48353,50782,20.4
4025,Yavapai County,,AZ,13918,192748,206666,12.8
4027,Yuma County,,AZ,11083,188616,199699,19.1
5001,Arkansas County,,AR,1322,21288,22610,17.6
5003,Ashley County,,AR,1278,23272,24550,21.0
5005,Baxter County,,AR,2661,40376,43037,14.3
5007,Benton County,,AR,14748,195193,209941,9.1
5009,Boone County,,AR,2522,36290,38812,15.9
5011,Bradley County,,AR,782,11429,12211,25.8
5013,Calhoun County,,AR,363,5310,5673,18.0
5015,Carroll County,,AR,1943,26073,28016,16.2
5017,Chicot County,,AR,899,11602,12501,36.2
5019,Clark County,,AR,1806,20774,22580,21.1
5021,Clay County,,AR,1232,16798,18030,19.9
5023,Cleburne County,,AR,1761,24796,26557,14.7
5025,Cleveland County,,AR,687,8911,9598,15.5
5027,Columbia County,,AR,1508,24025,25533,21.4
5029,Conway County,,AR,1365,20897,22262,18.4
5031,Craighead County,,AR,6187,86159,92346,17.3
5033,Crawford County,,AR,4464,58261,62725,17.3
5035,Crittenden County,,AR,3587,52320,55907,26.3
5037,Cross County,,AR,1715,19171,20886,19.5
5039,Dallas County,,AR,633,8454,9087,21.5
5041,Desha County,,AR,1072,14333,15405,31.2
5043,Drew County,,AR,1588,17838,19426,20.3
5045,Faulkner County,,AR,7344,97866,105210,13.2
5047,Franklin County,,AR,1255,17564,18819,16.7
5049,Fulton County,,AR,909,10461,11370,17.6
5051,Garland County,,AR,5809,93074,98883,16.6
5053,Grant County,,AR,1459,17974,19433,11.3
5055,Greene County,,AR,2111,40051,42162,18.2
5057,Hempstead County,,AR,1633,22562,24195,21.5
5059,Hot Spring County,,AR,2134,30619,32753,16.9
5061,Howard County,,AR,1127,14556,15683,17.6
5063,Independence County,,AR,2296,36456,38752,16.5
5065,Izard County,,AR,988,11888,12876,18.5
5067,Jackson County,,AR,1108,15903,17011,25.4
5069,Jefferson County,,AR,5353,81587,86940,21.2
5071,Johnson County,,AR,1486,23379,24865,18.7
5073,Lafayette County,,AR,530,7262,7792,25.7
5075,Lawrence County,,AR,1247,16447,17694,22.3
5077,Lee County,,AR,666,8461,9127,39.4
5079,Lincoln County,,AR,790,11174,11964,26.6
5081,Little River County,,AR,841,13269,14110,17.0
5083,Logan County,,AR,1545,22530,24075,19.9
5085,Lonoke County,,AR,5944,62961,68905,11.5
5087,Madison County,,AR,1060,14847,15907,17.3
5089,Marion County,,AR,1338,15063,16401,20.1
5091,Miller County,,AR,4265,40048,44313,20.4
5093,Mississippi County,,AR,2963,48098,51061,24.0
5095,Monroe County,,AR,793,9035,9828,27.5
5097,Montgomery County,,AR,571,8101,8672,18.5
