Source,Target,Type,id,label,timeset,weight
6037,6071,Directed,4852,,,70354
6037,6059,Directed,4853,,,53702
12086,12011,Directed,15798,,,43935
6059,6037,Directed,5951,,,41588
6059,6065,Directed,5952,,,40445
17031,17043,Directed,22840,,,36621
17031,17197,Directed,22841,,,35415
48201,48157,Directed,69852,,,34018
6037,6065,Directed,4854,,,33494
36047,36081,Directed,48936,,,32543
48113,48085,Directed,68531,,,31378
6073,6065,Directed,7340,,,29621
6071,6065,Directed,7009,,,29142
6071,6037,Directed,7008,,,27515
48113,48439,Directed,68532,,,27277
24510,24005,Directed,33857,,,25243
26163,26125,Directed,37763,,,25055
36081,36059,Directed,50533,,,24748
53033,53061,Directed,77857,,,24644
6065,6071,Directed,6445,,,24570
29510,29189,Directed,42640,,,23748
17043,17031,Directed,23472,,,23511
17031,17097,Directed,22842,,,23002
12011,12086,Directed,13388,,,22882
6001,6013,Directed,3799,,,22807
25025,25017,Directed,35191,,,22020
36061,36005,Directed,49707,,,22001
36061,36047,Directed,49706,,,21806
36081,36047,Directed,50534,,,21729
48113,48121,Directed,68533,,,21651
48439,48113,Directed,71870,,,21265
12011,12099,Directed,13389,,,21187
8031,8005,Directed,10283,,,20765
36059,36103,Directed,49481,,,20643
13121,13089,Directed,19957,,,20382
13089,13121,Directed,19471,,,19738
51059,51153,Directed,74622,,,19703
48201,48339,Directed,69853,,,19674
51059,51107,Directed,74621,,,19665
48453,48491,Directed,72426,,,19626
12095,12117,Directed,16318,,,19602
6037,32003,Directed,4855,,,19404
48157,48201,Directed,69495,,,19379
53033,53053,Directed,77858,,,19290
13089,13135,Directed,19472,,,18445
11001,24033,Directed,12765,,,18240
26125,26163,Directed,37032,,,18063
24005,24510,Directed,32550,,,17928
48085,48113,Directed,68211,,,17363
53061,53033,Directed,78726,,,17354
8005,8031,Directed,9895,,,17266
36047,36061,Directed,48937,,,17155
25017,25025,Directed,34599,,,17142
29189,29510,Directed,42253,,,16960
12117,12095,Directed,18004,,,16919
4013,4021,Directed,1802,,,16494
6075,6081,Directed,7988,,,16075
36005,36061,Directed,48033,,,15548
25025,25021,Directed,35192,,,15465
6067,6061,Directed,6753,,,15145
26163,26099,Directed,37764,,,15088
6037,6073,Directed,4856,,,15005
6037,4013,Directed,4858,,,14926
36061,36081,Directed,49708,,,14718
6037,6111,Directed,4857,,,14640
53053,53033,Directed,78437,,,14498
6059,6071,Directed,5953,,,14454
26125,26099,Directed,37033,,,14298
29189,29183,Directed,42254,,,14296
12057,12101,Directed,14687,,,14249
6013,6001,Directed,4160,,,14036
17031,17089,Directed,22843,,,13849
55079,55133,Directed,80492,,,13720
41051,41005,Directed,60020,,,13634
48491,48453,Directed,73007,,,13631
17043,17197,Directed,23473,,,13586
24031,24033,Directed,33178,,,13346
36047,36085,Directed,48938,,,13249
22071,22051,Directed,31373,,,13240
42101,42091,Directed,62841,,,13175
25017,25009,Directed,34600,,,13172
36081,36061,Directed,50535,,,13117
6065,6059,Directed,6446,,,12937
24033,24031,Directed,33461,,,12902
6037,6029,Directed,4859,,,12776
17031,18089,Directed,22844,,,12760
12099,12011,Directed,16719,,,12707
8031,8059,Directed,10284,,,12655
51013,51059,Directed,74199,,,12515
48121,48113,Directed,68971,,,12431
27053,27123,Directed,38577,,,12417
27123,27053,Directed,39253,,,12413
6001,6077,Directed,3801,,,12358
13121,13067,Directed,19958,,,12354
6001,6085,Directed,3800,,,12288
6085,6001,Directed,8595,,,12276
26099,26125,Directed,36694,,,12151
25017,25027,Directed,34601,,,12103
6073,6037,Directed,7341,,,12046
17197,17031,Directed,25085,,,11997
6065,6037,Directed,6447,,,11899
17097,17031,Directed,24068,,,11867
48201,48039,Directed,69854,,,11662
9001,9009,Directed,11641,,,11536
48339,48201,Directed,71206,,,11451
39049,39041,Directed,56003,,,11434
8031,8001,Directed,10285,,,11403
6081,6085,Directed,8347,,,11400
6075,6001,Directed,7989,,,11358
51510,51059,Directed,76172,,,11344
6111,6037,Directed,9499,,,11316
42101,42045,Directed,62842,,,11201
18097,18057,Directed,26246,,,11169
36059,36081,Directed,49482,,,11160
12103,12101,Directed,17166,,,11127
13067,13121,Directed,19072,,,10965
41051,41067,Directed,60021,,,10954
36005,36119,Directed,48034,,,10896
36103,36059,Directed,51267,,,10824
48201,48167,Directed,69855,,,10811
8059,8031,Directed,10992,,,10806
27053,27003,Directed,38579,,,10717
12103,12057,Directed,17165,,,10657
27053,27037,Directed,38578,,,10340
39061,39017,Directed,56446,,,10199
40109,40027,Directed,58667,,,10191
13121,13063,Directed,19959,,,10146
6065,6073,Directed,6448,,,10001
13135,13089,Directed,20294,,,9952
6081,6075,Directed,8348,,,9869
34013,34039,Directed,45613,,,9866
24033,11001,Directed,33462,,,9822
12097,12095,Directed,16635,,,9719
41005,41051,Directed,59368,,,9673
8059,8001,Directed,10993,,,9655
17043,17089,Directed,23474,,,9616
48085,48121,Directed,68212,,,9611
27123,27163,Directed,39254,,,9388
6059,6073,Directed,5954,,,9360
17031,17111,Directed,22845,,,9236
36081,36103,Directed,50536,,,9204
6061,6067,Directed,6337,,,9190
12031,12019,Directed,14078,,,9187
12095,12097,Directed,16319,,,9180
25021,25025,Directed,34906,,,9176
42101,42017,Directed,62843,,,9115
4021,4013,Directed,2751,,,9104
31055,31153,Directed,43270,,,9087
22051,22071,Directed,31112,,,9046
1073,1117,Directed,436,,,8995
25009,25017,Directed,34252,,,8953
6081,6001,Directed,8349,,,8952
25021,25023,Directed,34908,,,8849
6073,4013,Directed,7343,,,8830
51710,51810,Directed,76787,,,8790
25021,25017,Directed,34907,,,8766
55133,55079,Directed,81153,,,8758
8005,8035,Directed,9896,,,8752
34025,34029,Directed,46358,,,8719
12057,12103,Directed,14688,,,8678
25017,25021,Directed,34602,,,8672
41067,41051,Directed,60309,,,8671
34017,34003,Directed,45836,,,8628
51810,51710,Directed,77166,,,8555
6085,6081,Directed,8596,,,8448
6073,6059,Directed,7342,,,8334
48121,48085,Directed,68972,,,8334
47037,47149,Directed,65611,,,8329
39035,39093,Directed,55609,,,8219
34003,34031,Directed,45114,,,8145
24031,24021,Directed,33179,,,8070
11001,24031,Directed,12766,,,8036
29095,20091,Directed,41487,,,7996
48167,48201,Directed,69611,,,7961
36005,36081,Directed,48035,,,7916
42091,42017,Directed,62520,,,7891
6071,6059,Directed,7010,,,7876
12031,12109,Directed,14079,,,7848
40027,40109,Directed,58201,,,7836
12095,12069,Directed,16320,,,7817
42091,42101,Directed,62519,,,7811
34023,34035,Directed,46157,,,7808
