id,label,timeset,state,totalMig,totalNonMig,population,poverty
1001,Autauga County,,AL,5373,53344,58717,10.4
1003,Baldwin County,,AL,8762,161762,170524,10.2
1005,Barbour County,,AL,1890,27671,29561,22.1
1007,Bibb County,,AL,1286,21383,22669,16.8
1009,Blount County,,AL,3360,56145,59505,11.9
1011,Bullock County,,AL,641,10008,10649,26.2
1013,Butler County,,AL,1057,22431,23488,20.0
1015,Calhoun County,,AL,6863,130537,137400,16.4
1017,Chambers County,,AL,2280,42351,44631,16.2
1019,Cherokee County,,AL,1290,24433,25723,15.2
1021,Chilton County,,AL,1931,40711,42642,14.9
1023,Choctaw County,,AL,714,15914,16628,18.7
1025,Clarke County,,AL,1385,30083,31468,19.2
1027,Clay County,,AL,874,16341,17215,14.0
1029,Cleburne County,,AL,990,14413,15403,14.0
1031,Coffee County,,AL,4784,46174,50958,13.7
1033,Colbert County,,AL,3099,58791,61890,14.0
1035,Conecuh County,,AL,878,14165,15043,22.0
1037,Coosa County,,AL,1181,12950,14131,13.4
1039,Covington County,,AL,1759,37611,39370,17.5
1041,Crenshaw County,,AL,1011,15326,16337,17.6
1043,Cullman County,,AL,3636,82848,86484,13.3
1045,Dale County,,AL,7924,47232,55156,15.8
1047,Dallas County,,AL,2341,47663,50004,25.0
1049,DeKalb County,,AL,3729,71920,75649,15.1
1051,Elmore County,,AL,5786,74290,80076,12.5
1053,Escambia County,,AL,1982,37132,39114,18.6
1055,Etowah County,,AL,5096,105121,110217,15.7
1057,Fayette County,,AL,1109,21498,22607,16.1
1059,Franklin County,,AL,1829,31555,33384,17.4
1061,Geneva County,,AL,1701,25121,26822,17.6
1063,Greene County,,AL,565,9631,10196,24.9
1065,Hale County,,AL,1201,18333,19534,20.6
1067,Henry County,,AL,1220,17962,19182,16.3
1069,Houston County,,AL,6435,98600,105035,15.3
1071,Jackson County,,AL,2765,57427,60192,14.5
1073,Jefferson County,,AL,36739,720223,756962,14.4
1075,Lamar County,,AL,860,16320,17180,16.1
1077,Lauderdale County,,AL,4468,93422,97890,15.6
1079,Lawrence County,,AL,1977,37266,39243,14.4
1081,Lee County,,AL,9582,110285,119867,15.1
1083,Limestone County,,AL,3991,74077,78068,11.8
1085,Lowndes County,,AL,1066,13417,14483,23.3
1087,Macon County,,AL,1480,20805,22285,25.8
1089,Madison County,,AL,16429,328841,345270,10.9
1091,Marengo County,,AL,1127,23363,24490,20.1
1093,Marion County,,AL,1362,25523,26885,16.8
1095,Marshall County,,AL,5248,83663,88911,15.2
1097,Mobile County,,AL,16662,420864,437526,18.5
1099,Monroe County,,AL,1121,25468,26589,17.7
1101,Montgomery County,,AL,17720,237434,255154,18.0
1103,Morgan County,,AL,7065,123721,130786,13.2
1105,Perry County,,AL,587,9904,10491,28.6
1107,Pickens County,,AL,1040,21701,22741,19.3
1109,Pike County,,AL,1933,26871,28804,20.3
1111,Randolph County,,AL,1101,22201,23302,15.7
1113,Russell County,,AL,4938,49164,54102,18.6
1115,St. Clair County,,AL,4363,65262,69625,13.1
1117,Shelby County,,AL,13739,165608,179347,6.9
1119,Sumter County,,AL,794,13835,14629,26.4
1121,Talladega County,,AL,3994,78308,82302,16.8
1123,Tallapoosa County,,AL,2113,39732,41845,16.0
1125,Tuscaloosa County,,AL,9165,169138,178303,16.5
1127,Walker County,,AL,2975,67519,70494,14.8
1129,Washington County,,AL,1015,17960,18975,16.9
1131,Wilcox County,,AL,720,12850,13570,27.9
1133,Winston County,,AL,1358,24665,26023,16.9
2013,Aleutians East Borough,,AK,330,1601,1931,11.7
2016,Aleutians West Census Area,,AK,787,4227,5014,7.3
2020,Anchorage Municipality,,AK,26299,291015,317314,8.7
2050,Bethel Census Area,,AK,929,16466,17395,20.9
2060,Bristol Bay Borough,,AK,185,1243,1428,8.1
2068,Denali Borough,,AK,402,2115,2517,6.6
2070,Dillingham Census Area,,AK,379,4597,4976,18.1
2090,Fairbanks North Star Borough,,AK,12937,93604,106541,7.8
2100,Haines Borough,,AK,242,2609,2851,11.4
2105,Hoonah-Angoon Census Area,,AK,0,0,0,11.6
2110,Juneau City and Borough,,AK,2923,34774,37697,7.3
2122,Kenai Peninsula Borough,,AK,3875,54281,58156,9.9
2130,Ketchikan Gateway Borough,,AK,1492,14433,15925,8.1
2150,Kodiak Island Borough,,AK,1870,14961,16831,8.7
2164,Lake and Peninsula Borough,,AK,164,1457,1621,16.6
2170,Matanuska-Susitna Borough,,AK,4715,68533,73248,10.5
2180,Nome Census Area,,AK,564,8985,9549,17.4
2185,North Slope Borough,,AK,677,6932,7609,11.6
2188,Northwest Arctic Borough,,AK,455,6382,6837,17.0
2195,Petersburg Census Area,,AK,0,0,0,8.9
2220,Sitka City and Borough,,AK,1095,9868,10963,7.7
2240,Southeast Fairbanks Census Area,,AK,566,6382,6948,15.7
2261,Valdez-Cordova Census Area,,AK,1229,10825,12054,9.1
2270,Wade Hampton Census Area,,AK,303,7017,7320,25.1
2282,Yakutat City and Borough,,AK,58,578,636,10.8
2290,Yukon-Koyukuk Census Area,,AK,598,6020,6618,17.5
4001,Apache County,,AZ,7324,56722,64046,27.5
4003,Cochise County,,AZ,11989,116966,128955,16.3
4005,Coconino County,,AZ,12732,120594,133326,15.6
4007,Gila County,,AZ,4085,50899,54984,17.1
4009,Graham County,,AZ,1937,25474,27411,20.5
4011,Greenlee County,,AZ,668,7442,8110,11.2
4012,La Paz County,,AZ,1404,14063,15467,17.2
4013,Maricopa County,,AZ,151809,3402791,3554600,12.8
4015,Mohave County,,AZ,12323,161430,173753,14.9
4017,Navajo County,,AZ,7536,91084,98620,21.4
4019,Pima County,,AZ,45231,902493,947724,14.3
4021,Pinal County,,AZ,14321,155778,170099,14.6
4023,Santa Cruz County,,AZ,2581,46527,49108,19.2
4025,Yavapai County,,AZ,13194,178869,192063,12.0
4027,Yuma County,,AZ,10152,176620,186772,18.0
5001,Arkansas County,,AR,1083,21853,22936,17.3
5003,Ashley County,,AR,1242,24593,25835,17.8
5005,Baxter County,,AR,2682,40917,43599,13.7
5007,Benton County,,AR,13517,189923,203440,10.0
5009,Boone County,,AR,2322,37514,39836,15.3
5011,Bradley County,,AR,725,11726,12451,20.3
5013,Calhoun County,,AR,399,5622,6021,14.5
5015,Carroll County,,AR,2079,25306,27385,15.4
5017,Chicot County,,AR,1045,12746,13791,27.9
5019,Clark County,,AR,1828,22496,24324,17.2
5021,Clay County,,AR,1094,16966,18060,17.1
5023,Cleburne County,,AR,1946,29844,31790,14.4
5025,Cleveland County,,AR,668,9669,10337,14.2
5027,Columbia County,,AR,1475,25455,26930,20.3
5029,Conway County,,AR,1421,22640,24061,16.5
5031,Craighead County,,AR,5920,85698,91618,15.9
5033,Crawford County,,AR,4246,58573,62819,14.2
5035,Crittenden County,,AR,3458,54135,57593,22.5
5037,Cross County,,AR,1421,20276,21697,19.6
5039,Dallas County,,AR,539,8013,8552,18.7
