id,label,timeset,state,totalMig,totalNonMig,population,unemployment
5019,Clark County,,AR,1828,22496,24324,6.3
5021,Clay County,,AR,1094,16966,18060,8.0
5023,Cleburne County,,AR,1946,29844,31790,5.6
5025,Cleveland County,,AR,668,9669,10337,6.1
5027,Columbia County,,AR,1475,25455,26930,6.7
5029,Conway County,,AR,1421,22640,24061,6.2
5031,Craighead County,,AR,5920,85698,91618,5.5
5033,Crawford County,,AR,4246,58573,62819,5.3
5035,Crittenden County,,AR,3458,54135,57593,6.7
5037,Cross County,,AR,1421,20276,21697,7.4
5039,Dallas County,,AR,539,8013,8552,7.8
5041,Desha County,,AR,1170,16068,17238,8.8
5043,Drew County,,AR,1409,18122,19531,7.8
5045,Faulkner County,,AR,7299,98478,105777,5.4
5047,Franklin County,,AR,1297,17164,18461,4.8
5049,Fulton County,,AR,885,12080,12965,6.2
5051,Garland County,,AR,5855,99620,105475,6.3
5053,Grant County,,AR,1506,21156,22662,5.5
5055,Greene County,,AR,2142,39556,41698,6.6
5057,Hempstead County,,AR,1615,24674,26289,5.3
5059,Hot Spring County,,AR,1967,27950,29917,6.6
5061,Howard County,,AR,978,14701,15679,6.0
5063,Independence County,,AR,2352,37786,40138,6.4
5065,Izard County,,AR,865,11326,12191,7.8
5067,Jackson County,,AR,1123,17295,18418,8.9
5069,Jefferson County,,AR,5078,82367,87445,7.9
5071,Johnson County,,AR,1499,22878,24377,5.4
5073,Lafayette County,,AR,554,7401,7955,5.9
5075,Lawrence County,,AR,1307,17223,18530,8.4
5077,Lee County,,AR,781,9984,10765,11.4
5079,Lincoln County,,AR,656,9012,9668,8.0
5081,Little River County,,AR,931,13771,14702,4.8
5083,Logan County,,AR,1652,22602,24254,5.6
5085,Lonoke County,,AR,5597,62849,68446,4.8
5087,Madison County,,AR,1093,14539,15632,3.9
5089,Marion County,,AR,1250,15054,16304,6.4
5091,Miller County,,AR,3759,40282,44041,5.0
5093,Mississippi County,,AR,3230,49223,52453,11.8
5095,Monroe County,,AR,777,9657,10434,7.4
5097,Montgomery County,,AR,567,8694,9261,5.5
5099,Nevada County,,AR,720,9080,9800,5.0
5101,Newton County,,AR,635,7887,8522,5.7
5103,Ouachita County,,AR,1856,28024,29880,7.8
5105,Perry County,,AR,826,10374,11200,6.8
5107,Phillips County,,AR,1460,23734,25194,8.7
5109,Pike County,,AR,703,9244,9947,5.4
5111,Poinsett County,,AR,1764,23680,25444,7.3
5113,Polk County,,AR,1323,19145,20468,7.6
5115,Pope County,,AR,3739,54044,57783,5.7
5117,Prairie County,,AR,568,9209,9777,5.2
5119,Pulaski County,,AR,27961,396473,424434,5.2
5121,Randolph County,,AR,1062,17612,18674,9.4
5123,St. Francis County,,AR,1917,24807,26724,9.2
5125,Saline County,,AR,5551,76092,81643,4.8
5127,Scott County,,AR,930,11230,12160,4.8
5129,Searcy County,,AR,423,6357,6780,5.5
5131,Sebastian County,,AR,9467,119487,128954,4.9
5133,Sevier County,,AR,975,15043,16018,4.6
5135,Sharp County,,AR,1238,12329,13567,8.5
5137,Stone County,,AR,639,11747,12386,7.5
5139,Union County,,AR,2753,47752,50505,7.9
5141,Van Buren County,,AR,960,13441,14401,7.1
5143,Washington County,,AR,14369,158502,172871,3.8
