id,label,timeset,state,totalMig,totalNonMig,population,poverty
1001,Autauga County,,AL,6044,58104,64148,10.7
1003,Baldwin County,,AL,10504,188262,198766,9.9
1005,Barbour County,,AL,1692,26144,27836,24.5
1007,Bibb County,,AL,1547,22324,23871,18.5
1009,Blount County,,AL,3627,59387,63014,13.1
1011,Bullock County,,AL,551,9755,10306,33.6
1013,Butler County,,AL,1244,22691,23935,22.3
1015,Calhoun County,,AL,6335,129740,136075,17.6
1017,Chambers County,,AL,2127,38337,40464,18.7
1019,Cherokee County,,AL,1355,25510,26865,17.7
1021,Chilton County,,AL,2466,45657,48123,17.1
1023,Choctaw County,,AL,700,15134,15834,22.9
1025,Clarke County,,AL,1538,30277,31815,20.6
1027,Clay County,,AL,880,16005,16885,16.9
1029,Cleburne County,,AL,1008,14970,15978,14.8
1031,Coffee County,,AL,5595,49033,54628,15.2
1033,Colbert County,,AL,3430,61520,64950,12.7
1035,Conecuh County,,AL,803,13525,14328,24.9
1037,Coosa County,,AL,1189,11384,12573,15.7
1039,Covington County,,AL,2050,39429,41479,18.9
1041,Crenshaw County,,AL,907,14851,15758,18.9
1043,Cullman County,,AL,3977,87842,91819,14.8
1045,Dale County,,AL,8014,49704,57718,15.0
1047,Dallas County,,AL,2412,46366,48778,29.9
1049,DeKalb County,,AL,3833,73451,77284,18.7
1051,Elmore County,,AL,7179,83793,90972,11.4
1053,Escambia County,,AL,2146,38691,40837,24.1
1055,Etowah County,,AL,5178,112019,117197,16.7
1057,Fayette County,,AL,1032,18065,19097,19.8
1059,Franklin County,,AL,2009,34549,36558,19.5
1061,Geneva County,,AL,1869,26523,28392,17.8
1063,Greene County,,AL,681,9680,10361,30.3
1065,Hale County,,AL,1112,17964,19076,26.0
1067,Henry County,,AL,1332,18011,19343,18.6
1069,Houston County,,AL,7224,107446,114670,15.1
1071,Jackson County,,AL,2678,58368,61046,16.9
1073,Jefferson County,,AL,36934,732168,769102,13.8
1075,Lamar County,,AL,710,15820,16530,18.2
1077,Lauderdale County,,AL,4986,98347,103333,17.0
1079,Lawrence County,,AL,1917,38108,40025,15.0
1081,Lee County,,AL,11078,129223,140301,15.5
1083,Limestone County,,AL,4479,85590,90069,12.1
1085,Lowndes County,,AL,1061,14297,15358,25.4
1087,Macon County,,AL,1905,21390,23295,30.5
1089,Madison County,,AL,19072,372371,391443,11.3
1091,Marengo County,,AL,1247,23711,24958,22.6
1093,Marion County,,AL,1703,30193,31896,19.6
1095,Marshall County,,AL,5397,98617,104014,18.0
1097,Mobile County,,AL,17371,450225,467596,18.6
1099,Monroe County,,AL,1228,25074,26302,21.8
1101,Montgomery County,,AL,19172,249687,268859,17.6
1103,Morgan County,,AL,6919,134809,141728,12.5
1105,Perry County,,AL,640,11381,12021,31.7
1107,Pickens County,,AL,1068,21522,22590,25.6
1109,Pike County,,AL,2147,29586,31733,22.5
1111,Randolph County,,AL,1258,23811,25069,17.3
1113,Russell County,,AL,6336,52109,58445,23.3
1115,St. Clair County,,AL,5279,86117,91396,12.6
1117,Shelby County,,AL,15211,208632,223843,5.8
1119,Sumter County,,AL,788,13851,14639,32.9
1121,Talladega County,,AL,4870,86870,91740,18.7
1123,Tallapoosa County,,AL,2927,44721,47648,19.5
1125,Tuscaloosa County,,AL,10197,189804,200001,17.3
1127,Walker County,,AL,3108,69982,73090,17.4
1129,Washington County,,AL,1020,18810,19830,18.2
1131,Wilcox County,,AL,818,13500,14318,30.2
1133,Winston County,,AL,1446,25462,26908,18.3
2013,Aleutians East Borough,,AK,339,1753,2092,15.3
2016,Aleutians West Census Area,,AK,694,4350,5044,9.0
2020,Anchorage Municipality,,AK,28706,311726,340432,7.2
2050,Bethel Census Area,,AK,1042,17127,18169,21.5
2060,Bristol Bay Borough,,AK,226,1133,1359,7.8
2068,Denali Borough,,AK,263,2316,2579,5.4
2070,Dillingham Census Area,,AK,386,4979,5365,19.6
2090,Fairbanks North Star Borough,,AK,12822,101261,114083,7.5
2100,Haines Borough,,AK,195,2699,2894,10.4
2105,Hoonah-Angoon Census Area,,AK,236,2077,2313,12.3
2110,Juneau City and Borough,,AK,3075,34187,37262,6.7
2122,Kenai Peninsula Borough,,AK,3766,59463,63229,10.3
2130,Ketchikan Gateway Borough,,AK,1464,14958,16422,8.7
2150,Kodiak Island Borough,,AK,1930,15099,17029,8.0
2164,Lake and Peninsula Borough,,AK,165,1526,1691,17.2
2170,Matanuska-Susitna Borough,,AK,6236,88852,95088,9.3
2180,Nome Census Area,,AK,604,8722,9326,20.9
2185,North Slope Borough,,AK,615,6775,7390,11.4
2188,Northwest Arctic Borough,,AK,504,6504,7008,16.5
2195,Petersburg Census Area,,AK,360,4030,4390,9.8
2198,Prince of Wales-Hyder Census Area,,AK,401,4863,5264,15.2
2220,Sitka City and Borough,,AK,888,9628,10516,7.8
2230,Skagway Municipality,,AK,161,1228,1389,0.0
2240,Southeast Fairbanks Census Area,,AK,841,7908,8749,13.3
2261,Valdez-Cordova Census Area,,AK,1216,10689,11905,8.5
2270,Wade Hampton Census Area,,AK,480,7234,7714,29.2
2275,Wrangell City and Borough,,AK,212,2443,2655,0.0
2282,Yakutat City and Borough,,AK,47,554,601,13.3
2290,Yukon-Koyukuk Census Area,,AK,632,5541,6173,24.9
4001,Apache County,,AZ,6803,65128,71931,33.2
4003,Cochise County,,AZ,13670,130856,144526,16.0
4005,Coconino County,,AZ,12776,132183,144959,16.0
4007,Gila County,,AZ,3832,54593,58425,16.1
4009,Graham County,,AZ,2308,30595,32903,21.4
4011,Greenlee County,,AZ,1084,8401,9485,11.3
4012,La Paz County,,AZ,1318,15640,16958,26.1
4013,Maricopa County,,AZ,196634,4059391,4256025,13.4
4015,Mohave County,,AZ,14927,191351,206278,16.8
4017,Navajo County,,AZ,8667,101816,110483,23.1
4019,Pima County,,AZ,49046,1028429,1077475,15.4
4021,Pinal County,,AZ,35968,300753,336721,14.0
4023,Santa Cruz County,,AZ,2707,53983,56690,18.5
4025,Yavapai County,,AZ,15843,222474,238317,12.9
4027,Yuma County,,AZ,12511,217786,230297,21.5
5001,Arkansas County,,AR,1213,21295,22508,20.1
5003,Ashley County,,AR,1394,23683,25077,18.3
5005,Baxter County,,AR,2711,43783,46494,16.8
5007,Benton County,,AR,16415,231494,247909,11.1
5009,Boone County,,AR,2557,39288,41845,15.0
5011,Bradley County,,AR,850,11677,12527,24.1
5013,Calhoun County,,AR,365,5246,5611,16.5
5015,Carroll County,,AR,1836,27716,29552,15.6
