Source,Target,Type,id,label,timeset,weight
6037,6071,Directed,5149,,,52001
6037,6059,Directed,5148,,,50334
6059,6037,Directed,6169,,,40988
6071,6037,Directed,7182,,,38519
12086,12011,Directed,15969,,,38256
6071,6065,Directed,7183,,,36523
48201,48157,Directed,71038,,,34518
36047,36081,Directed,49807,,,32523
6037,6065,Directed,5150,,,31566
36061,36047,Directed,50551,,,28602
48113,48439,Directed,69622,,,28070
48113,48085,Directed,69621,,,27809
26163,26125,Directed,38644,,,27791
36061,36005,Directed,50552,,,27660
17031,17043,Directed,23783,,,27023
12011,12086,Directed,13277,,,26716
6065,6071,Directed,6628,,,26019
4013,4021,Directed,1939,,,25236
48439,48113,Directed,73181,,,25033
6059,6065,Directed,6170,,,24601
24510,24005,Directed,34837,,,23375
36081,36047,Directed,51334,,,23020
48157,48201,Directed,70615,,,22892
17043,17031,Directed,24400,,,22824
13121,13089,Directed,20612,,,22376
6065,6059,Directed,6629,,,21859
29510,29189,Directed,43636,,,21746
8031,8005,Directed,10211,,,21471
13089,13121,Directed,20106,,,21436
53033,53061,Directed,79256,,,21348
4021,4013,Directed,2979,,,21048
48453,48491,Directed,73735,,,21031
25025,25017,Directed,35995,,,20735
48113,48121,Directed,69623,,,20657
8005,8031,Directed,9846,,,20215
48085,48113,Directed,69283,,,20061
48201,48339,Directed,71039,,,19921
6001,6013,Directed,4176,,,19885
36081,36059,Directed,51335,,,19657
6065,6037,Directed,6630,,,19452
26125,26163,Directed,37881,,,18578
29189,29510,Directed,43264,,,18563
53033,53053,Directed,79257,,,18359
24005,24510,Directed,33636,,,18114
36005,36061,Directed,48950,,,17900
36047,36061,Directed,49808,,,17644
17031,17197,Directed,23784,,,17611
26163,26099,Directed,38645,,,17572
12095,12117,Directed,16544,,,17550
53061,53033,Directed,80112,,,17534
6073,6065,Directed,7502,,,17197
36061,36081,Directed,50553,,,17145
25017,25025,Directed,35481,,,16758
48491,48453,Directed,74327,,,16308
13089,13135,Directed,20107,,,16305
12117,12095,Directed,18497,,,16290
12011,12099,Directed,13278,,,16107
48121,48113,Directed,70058,,,15827
53053,53033,Directed,79809,,,15710
6065,6073,Directed,6631,,,14990
51059,51153,Directed,76002,,,14842
6013,6001,Directed,4509,,,14783
6037,6073,Directed,5151,,,14315
17031,17097,Directed,23785,,,14198
48339,48201,Directed,72443,,,14038
6037,6111,Directed,5152,,,13927
6075,6081,Directed,8114,,,13524
26099,26125,Directed,37522,,,13439
27123,27053,Directed,40140,,,13359
25025,25021,Directed,35996,,,13241
11001,24033,Directed,12611,,,13235
17197,17031,Directed,25989,,,13160
27053,27123,Directed,39471,,,13104
36059,36103,Directed,50353,,,12966
6067,6061,Directed,6933,,,12940
36081,36061,Directed,51336,,,12871
6085,6001,Directed,8682,,,12774
51059,51107,Directed,76003,,,12752
12095,12097,Directed,16545,,,12579
8031,8059,Directed,10212,,,12563
22051,22071,Directed,32188,,,12547
12097,12095,Directed,16908,,,12389
6073,6037,Directed,7503,,,12292
12099,12011,Directed,17027,,,12292
8059,8031,Directed,10929,,,12209
8031,8001,Directed,10213,,,12203
17097,17031,Directed,24983,,,12103
24033,24031,Directed,34479,,,12057
13067,13121,Directed,19686,,,11906
6037,32003,Directed,5153,,,11881
42101,42091,Directed,63602,,,11787
12057,12101,Directed,14685,,,11740
26125,26099,Directed,37882,,,11518
13121,13067,Directed,20613,,,11468
48167,48201,Directed,70738,,,11437
48201,48039,Directed,71040,,,11314
41051,41005,Directed,60826,,,11124
55079,55133,Directed,81929,,,11046
6075,6001,Directed,8115,,,11030
13135,13089,Directed,20979,,,10926
13121,13063,Directed,20614,,,10899
13063,13121,Directed,19567,,,10821
24033,11001,Directed,34480,,,10697
