Source,Target,Type,id,label,timeset,weight
6037,6059,Directed,73139,,,54900
6037,6071,Directed,73140,,,53845
6059,6037,Directed,74156,,,44245
17031,17043,Directed,55873,,,43275
12086,12011,Directed,64865,,,40186
48113,48085,Directed,9833,,,33067
48201,48157,Directed,11184,,,29757
6059,6065,Directed,74157,,,28055
6071,6037,Directed,75056,,,27992
36047,36081,Directed,27938,,,27890
24510,24005,Directed,48249,,,26659
17043,17031,Directed,56511,,,26329
48113,48439,Directed,9834,,,26002
53033,53061,Directed,2843,,,25997
26163,26125,Directed,46155,,,24748
8031,8005,Directed,70763,,,23994
36081,36059,Directed,29444,,,23546
6037,6065,Directed,73141,,,23106
29510,29189,Directed,42137,,,22832
17031,17097,Directed,55874,,,22642
13121,13089,Directed,62070,,,22425
36059,36103,Directed,28450,,,22191
17031,17197,Directed,55875,,,22061
53033,53053,Directed,2844,,,21691
36081,36047,Directed,29445,,,21665
13089,13121,Directed,61568,,,21627
6001,6013,Directed,72103,,,21257
48439,48113,Directed,13293,,,21196
36061,36005,Directed,28658,,,21141
6071,6065,Directed,75057,,,20913
13089,13135,Directed,61569,,,20725
48113,48121,Directed,9835,,,20654
12011,12099,Directed,64251,,,19802
48453,48491,Directed,13842,,,19176
6085,6001,Directed,76475,,,19119
25025,25017,Directed,49485,,,18977
8005,8031,Directed,70340,,,18923
6065,6071,Directed,74603,,,18887
36061,36047,Directed,28657,,,18846
12011,12086,Directed,64252,,,18205
6073,6065,Directed,75326,,,17909
26125,26163,Directed,45427,,,17821
11001,24033,Directed,69171,,,17771
29189,29510,Directed,41739,,,17320
12095,12117,Directed,66963,,,17192
48157,48201,Directed,10814,,,17066
24005,24510,Directed,47077,,,16962
53061,53033,Directed,3691,,,16351
6037,6073,Directed,73142,,,16218
48201,48339,Directed,11185,,,16164
6037,6111,Directed,73143,,,16145
48085,48113,Directed,9522,,,16085
12117,12095,Directed,68541,,,15896
25017,25025,Directed,48928,,,15802
26125,26099,Directed,45428,,,15304
39049,39041,Directed,24789,,,15020
51059,51153,Directed,5016,,,14949
8031,8059,Directed,70764,,,14836
26163,26099,Directed,46156,,,14220
51059,51107,Directed,5017,,,14171
36047,36061,Directed,27939,,,14127
36005,36061,Directed,27042,,,14038
6075,6081,Directed,75879,,,14017
36061,36081,Directed,28659,,,13969
6037,32003,Directed,73144,,,13669
6073,6037,Directed,75327,,,13259
55079,55133,Directed,1584,,,13189
6013,6001,Directed,72456,,,13140
41051,41005,Directed,22162,,,13124
17031,17089,Directed,55876,,,13117
42101,42091,Directed,20831,,,13083
25025,25021,Directed,49486,,,13061
53053,53033,Directed,3410,,,12917
26099,26125,Directed,45092,,,12880
29189,29183,Directed,41740,,,12698
6075,6001,Directed,75880,,,12693
27053,27123,Directed,42707,,,12611
6065,6037,Directed,74604,,,12408
13121,13067,Directed,62071,,,12399
25017,25009,Directed,48929,,,12221
36047,36085,Directed,27940,,,12124
36081,36061,Directed,29446,,,12074
17097,17031,Directed,57150,,,12074
27123,27053,Directed,43382,,,11931
22071,22051,Directed,50590,,,11868
12099,12011,Directed,67340,,,11866
8031,8001,Directed,70765,,,11859
13121,13063,Directed,62072,,,11806
51013,51059,Directed,4586,,,11749
6111,6037,Directed,77365,,,11694
24031,24033,Directed,47640,,,11557
6065,6059,Directed,74605,,,11542
8059,8031,Directed,71473,,,11516
6001,6077,Directed,72105,,,11480
17043,17089,Directed,56512,,,11436
25017,25027,Directed,48930,,,11240
48121,48113,Directed,10277,,,11197
41005,41051,Directed,21464,,,11155
48491,48453,Directed,14433,,,11126
18097,18057,Directed,54664,,,10968
42101,42045,Directed,20832,,,10942
6001,6085,Directed,72104,,,10807
24033,24031,Directed,47895,,,10756
13067,13121,Directed,61153,,,10705
6067,6061,Directed,74820,,,10547
6059,6071,Directed,74159,,,10529
36081,36103,Directed,29447,,,10460
6081,6001,Directed,76209,,,10457
51510,51059,Directed,6481,,,10449
41051,41067,Directed,22163,,,10378
