id,label,timeset,state,totalMig,totalNonMig,population,unemployment
1001,Autauga County,,AL,4715,50793,55508,3.6
1003,Baldwin County,,AL,9033,152298,161331,3.3
1005,Barbour County,,AL,1939,28101,30040,4.9
1007,Bibb County,,AL,1329,21358,22687,4.7
1009,Blount County,,AL,3154,54246,57400,3.1
1011,Bullock County,,AL,789,10765,11554,7.6
1013,Butler County,,AL,1199,22939,24138,6.9
1015,Calhoun County,,AL,7572,131785,139357,4.5
1017,Chambers County,,AL,2412,43723,46135,3.9
1019,Cherokee County,,AL,1380,25163,26543,4.0
1021,Chilton County,,AL,2081,39932,42013,3.8
1023,Choctaw County,,AL,777,16481,17258,5.8
1025,Clarke County,,AL,1620,32057,33677,6.5
1027,Clay County,,AL,934,16541,17475,5.4
1029,Cleburne County,,AL,930,14185,15115,3.6
1031,Coffee County,,AL,4986,45184,50170,5.1
1033,Colbert County,,AL,3262,60043,63305,4.9
1035,Conecuh County,,AL,939,14867,15806,5.8
1037,Coosa County,,AL,1219,13792,15011,4.8
1039,Covington County,,AL,2229,38634,40863,6.1
1041,Crenshaw County,,AL,940,15635,16575,5.1
1043,Cullman County,,AL,3928,83757,87685,3.7
1045,Dale County,,AL,7588,49359,56947,4.6
1047,Dallas County,,AL,2469,50698,53167,7.2
1049,DeKalb County,,AL,4146,75391,79537,3.6
1051,Elmore County,,AL,5557,70837,76394,3.5
1053,Escambia County,,AL,2049,38826,40875,4.6
1055,Etowah County,,AL,5532,105822,111354,5.2
1057,Fayette County,,AL,1202,21931,23133,5.2
1059,Franklin County,,AL,1973,32876,34849,5.8
1061,Geneva County,,AL,2020,25894,27914,4.5
1063,Greene County,,AL,624,9853,10477,6.1
1065,Hale County,,AL,1071,18831,19902,5.3
1067,Henry County,,AL,1331,17649,18980,4.4
1069,Houston County,,AL,6724,96513,103237,3.9
1071,Jackson County,,AL,2740,58224,60964,4.6
1073,Jefferson County,,AL,37708,735609,773317,3.5
1075,Lamar County,,AL,1072,17487,18559,6.2
1077,Lauderdale County,,AL,5091,94599,99690,4.4
1079,Lawrence County,,AL,2044,37927,39971,4.4
1081,Lee County,,AL,9840,104667,114507,3.5
1083,Limestone County,,AL,3793,72884,76677,3.4
1085,Lowndes County,,AL,994,13713,14707,6.1
1087,Macon County,,AL,1510,21534,23044,5.1
1089,Madison County,,AL,17601,315922,333523,3.1
1091,Marengo County,,AL,1447,23556,25003,4.6
1093,Marion County,,AL,1699,27781,29480,5.9
1095,Marshall County,,AL,5861,79310,85171,4.2
1097,Mobile County,,AL,18195,428010,446205,4.4
1099,Monroe County,,AL,1346,25883,27229,5.7
1101,Montgomery County,,AL,18436,238213,256649,3.7
1103,Morgan County,,AL,7238,124726,131964,3.7
1105,Perry County,,AL,630,10865,11495,8.2
1107,Pickens County,,AL,1138,22828,23966,6.7
1109,Pike County,,AL,2157,26369,28526,4.9
1111,Randolph County,,AL,1135,22744,23879,4.3
1113,Russell County,,AL,5507,51044,56551,4.1
1115,St. Clair County,,AL,4211,63343,67554,3.3
1117,Shelby County,,AL,13237,149943,163180,2.4
1119,Sumter County,,AL,935,14867,15802,8.1
1121,Talladega County,,AL,4281,79645,83926,4.6
1123,Tallapoosa County,,AL,2507,41839,44346,4.3
1125,Tuscaloosa County,,AL,10149,167935,178084,3.5
1127,Walker County,,AL,3214,68547,71761,5.1
1129,Washington County,,AL,1163,19049,20212,6.1
1131,Wilcox County,,AL,757,13289,14046,7.8
1133,Winston County,,AL,1560,25356,26916,6.9
2013,Aleutians East Borough,,AK,472,1443,1915,8.4
2016,Aleutians West Census Area,,AK,793,3899,4692,5.0
2020,Anchorage Municipality,,AK,24777,274631,299408,4.9
2050,Bethel Census Area,,AK,905,15097,16002,8.7
